Date,Open,High,Low,Close,Adj Close,Volume
3/14/2019,0.31387,0.316362,0.311307,0.312955,0.312955,706966032
3/15/2019,0.312733,0.316065,0.311575,0.315052,0.315052,636037517
3/16/2019,0.315066,0.322413,0.314838,0.320468,0.320468,759396360
3/17/2019,0.320387,0.320739,0.316497,0.317612,0.317612,530234054
3/18/2019,0.317716,0.320667,0.314653,0.31744,0.31744,692176696
3/19/2019,0.316756,0.320595,0.315351,0.319281,0.319281,672954616
3/20/2019,0.319346,0.320777,0.314781,0.31961,0.31961,794566633
3/21/2019,0.31996,0.32085,0.309338,0.312718,0.312718,824129023
3/22/2019,0.311342,0.315092,0.310141,0.311541,0.311541,687711343
3/23/2019,0.311343,0.313666,0.31013,0.312359,0.312359,611853725
3/24/2019,0.312396,0.312453,0.308168,0.308992,0.308992,649754894
3/25/2019,0.309446,0.309736,0.301453,0.304055,0.304055,750245385
3/26/2019,0.303808,0.30506,0.298987,0.30506,0.30506,761000017
3/27/2019,0.305421,0.312615,0.304067,0.312465,0.312465,781951318
3/28/2019,0.312383,0.312452,0.307085,0.309246,0.309246,677929379
3/29/2019,0.309269,0.311644,0.306235,0.307929,0.307929,854583316
3/30/2019,0.307655,0.326784,0.306873,0.310632,0.310632,929122633
3/31/2019,0.31073,0.311171,0.30815,0.309229,0.309229,652757652
4/1/2019,0.309195,0.313777,0.30891,0.312747,0.312747,836123225
4/2/2019,0.312805,0.35587,0.312001,0.351499,0.351499,2400198268
4/3/2019,0.351309,0.37127,0.333735,0.342234,0.342234,2544122431
4/4/2019,0.342286,0.348977,0.32907,0.332513,0.332513,1599115419
4/5/2019,0.332685,0.374064,0.33263,0.361803,0.361803,2359353481
4/6/2019,0.361837,0.363441,0.351168,0.354405,0.354405,1440643534
4/7/2019,0.354406,0.365387,0.351689,0.359856,0.359856,1398086395
4/8/2019,0.361143,0.367036,0.351588,0.358234,0.358234,1513421926
4/9/2019,0.358307,0.358307,0.348536,0.349462,0.349462,1076688924
4/10/2019,0.349425,0.359778,0.348709,0.354792,0.354792,1213341089
4/11/2019,0.354828,0.354851,0.326826,0.330984,0.330984,1641951210
4/12/2019,0.330664,0.330868,0.321167,0.326346,0.326346,1076074031
4/13/2019,0.326386,0.334444,0.323714,0.326031,0.326031,976688780
4/14/2019,0.32616,0.329421,0.324244,0.328809,0.328809,746765729
4/15/2019,0.328841,0.331551,0.31809,0.320913,0.320913,934107164
4/16/2019,0.320998,0.327308,0.319261,0.327218,0.327218,799796781
4/17/2019,0.327157,0.340327,0.322388,0.335453,0.335453,1137811633
4/18/2019,0.335476,0.345289,0.335335,0.337065,0.337065,1092731769
4/19/2019,0.337062,0.337147,0.329577,0.331902,0.331902,1025167554
4/20/2019,0.331871,0.333213,0.324969,0.328476,0.328476,931570799
4/21/2019,0.328678,0.329627,0.318746,0.322449,0.322449,1005803846
4/22/2019,0.322277,0.32935,0.320237,0.323934,0.323934,1131094080
4/23/2019,0.323844,0.328396,0.320919,0.321222,0.321222,1077333990
4/24/2019,0.321114,0.321282,0.296982,0.302318,0.302318,1517791002
4/25/2019,0.302224,0.306162,0.287667,0.289384,0.289384,1191205196
4/26/2019,0.289838,0.29902,0.287485,0.298502,0.298502,1226933036
4/27/2019,0.298541,0.300304,0.295307,0.296741,0.296741,785963315
4/28/2019,0.296865,0.300466,0.295339,0.297426,0.297426,721572911
4/29/2019,0.297422,0.299848,0.291652,0.294289,0.294289,890911784
4/30/2019,0.29432,0.311631,0.293542,0.309476,0.309476,1229331267
5/1/2019,0.30949,0.311585,0.302282,0.304696,0.304696,914654614
5/2/2019,0.304735,0.305553,0.302567,0.303239,0.303239,890538619
5/3/2019,0.303232,0.313298,0.301475,0.308222,0.308222,1221399046
5/4/2019,0.308173,0.315657,0.300752,0.304552,0.304552,1162919063
5/5/2019,0.304628,0.305519,0.299611,0.302342,0.302342,805245812
5/6/2019,0.302275,0.305754,0.296443,0.302389,0.302389,1048970512
5/7/2019,0.302092,0.306428,0.299478,0.299684,0.299684,1082385112
5/8/2019,0.299022,0.3015,0.297536,0.300721,0.300721,927526280
5/9/2019,0.300582,0.302173,0.294397,0.296509,0.296509,857521678
5/10/2019,0.296523,0.302207,0.294114,0.300387,0.300387,1057594529
5/11/2019,0.300312,0.336324,0.300172,0.324543,0.324543,2226303541
5/12/2019,0.324265,0.327684,0.307292,0.310074,0.310074,2000224167
5/13/2019,0.310118,0.330486,0.308434,0.325475,0.325475,1973949373
5/14/2019,0.325111,0.417289,0.323816,0.409062,0.409062,5834207845
5/15/2019,0.408673,0.460802,0.407264,0.456005,0.456005,4535603094
5/16/2019,0.455692,0.474619,0.401363,0.419707,0.419707,4730708975
5/17/2019,0.419676,0.423509,0.366435,0.386193,0.386193,3644156225
5/18/2019,0.388622,0.391527,0.368175,0.372736,0.372736,1866646601
5/19/2019,0.372647,0.423387,0.370944,0.4177,0.4177,2803922255
5/20/2019,0.417456,0.417456,0.384647,0.398003,0.398003,2258366889
5/21/2019,0.398209,0.403105,0.389302,0.397603,0.397603,1811582122
5/22/2019,0.397493,0.407428,0.373879,0.376637,0.376637,2028827460
5/23/2019,0.376736,0.383126,0.366805,0.381204,0.381204,1595345471
5/24/2019,0.381313,0.392683,0.374502,0.384541,0.384541,1872678192
5/25/2019,0.384804,0.3936,0.383478,0.38704,0.38704,1363572843
5/26/2019,0.387129,0.409859,0.379447,0.408413,0.408413,1848938650
5/27/2019,0.408397,0.440374,0.407021,0.434168,0.434168,2736949591
5/28/2019,0.433781,0.453887,0.421021,0.446549,0.446549,3193961851
5/29/2019,0.446747,0.453277,0.424314,0.443713,0.443713,2538438749
5/30/2019,0.443786,0.469458,0.413677,0.422395,0.422395,3527827315
5/31/2019,0.422332,0.440177,0.412928,0.438574,0.438574,2225730799
6/1/2019,0.438711,0.440843,0.424181,0.430583,0.430583,1740720642
6/2/2019,0.430953,0.445865,0.429799,0.444785,0.444785,1595105832
6/3/2019,0.444674,0.459579,0.424949,0.425764,0.425764,2544969218
6/4/2019,0.425415,0.425415,0.391093,0.400667,0.400667,2537240038
6/5/2019,0.400272,0.407157,0.392688,0.402732,0.402732,1768216479
6/6/2019,0.402333,0.420554,0.394918,0.41954,0.41954,2014934546
6/7/2019,0.419548,0.430532,0.416001,0.42313,0.42313,1659632775
6/8/2019,0.423261,0.425115,0.407667,0.412411,0.412411,1244578044
6/9/2019,0.412689,0.413613,0.379967,0.388266,0.388266,1575002838
6/10/2019,0.388186,0.404672,0.383885,0.400427,0.400427,1477656039
6/11/2019,0.400674,0.402053,0.387196,0.394261,0.394261,1186383476
6/12/2019,0.394351,0.403183,0.390625,0.40176,0.40176,1221700743
6/13/2019,0.401696,0.407459,0.399352,0.400887,0.400887,1209093571
6/14/2019,0.400839,0.407512,0.393815,0.405921,0.405921,1262403987
6/15/2019,0.405759,0.412854,0.403475,0.410419,0.410419,1344741903
6/16/2019,0.410535,0.438876,0.408303,0.427516,0.427516,1981370152
6/17/2019,0.427161,0.459385,0.427092,0.44808,0.44808,1979014573
6/18/2019,0.447815,0.454499,0.423634,0.428761,0.428761,1832910177
6/19/2019,0.428757,0.438121,0.426449,0.436817,0.436817,1150637870
6/20/2019,0.436565,0.436714,0.423504,0.429823,0.429823,1296288449
6/21/2019,0.429813,0.446312,0.429535,0.443188,0.443188,1546835769
6/22/2019,0.443629,0.505467,0.442571,0.474764,0.474764,3641363867
6/23/2019,0.474858,0.488133,0.465424,0.468291,0.468291,2114801632
6/24/2019,0.468564,0.472181,0.452162,0.470088,0.470088,1641873591
6/25/2019,0.470534,0.473553,0.458875,0.468229,0.468229,1958460938
6/26/2019,0.468444,0.49431,0.460844,0.467451,0.467451,3581004665
6/27/2019,0.467701,0.470648,0.395387,0.408754,0.408754,3038678719
6/28/2019,0.409027,0.427994,0.402158,0.427315,0.427315,1974643651
6/29/2019,0.427877,0.429711,0.405958,0.429378,0.429378,1775096156
6/30/2019,0.42918,0.42918,0.396411,0.396411,0.396411,1570726856
7/1/2019,0.3959,0.417618,0.389673,0.406862,0.406862,1783852226
7/2/2019,0.406414,0.409737,0.384477,0.400204,0.400204,1676193189
7/3/2019,0.400178,0.409239,0.396724,0.408532,0.408532,1436716899
7/4/2019,0.408316,0.408655,0.387974,0.388719,0.388719,1385563454
7/5/2019,0.388729,0.388729,0.375611,0.378964,0.378964,1286860595
7/6/2019,0.379139,0.408374,0.378463,0.389055,0.389055,1521409875
7/7/2019,0.389503,0.398887,0.387624,0.397047,0.397047,1210813690
7/8/2019,0.397261,0.40269,0.392328,0.401533,0.401533,1253488309
7/9/2019,0.401645,0.406549,0.391286,0.394168,0.394168,1413299253
7/10/2019,0.394857,0.39792,0.352078,0.363775,0.363775,2300685763
7/11/2019,0.363446,0.363634,0.322926,0.330335,0.330335,2056220396
7/12/2019,0.330343,0.349789,0.323298,0.344118,0.344118,1641965115
7/13/2019,0.344704,0.345083,0.325289,0.332179,0.332179,1076509239
7/14/2019,0.332685,0.334864,0.305326,0.306426,0.306426,1365358144
7/15/2019,0.306575,0.321783,0.298669,0.31531,0.31531,1638295919
7/16/2019,0.315186,0.320242,0.291294,0.296726,0.296726,1527503243
7/17/2019,0.296762,0.322181,0.29455,0.310613,0.310613,2478342585
7/18/2019,0.310748,0.326506,0.306624,0.323176,0.323176,1460358426
7/19/2019,0.322964,0.324509,0.314147,0.320605,0.320605,1181194676
7/20/2019,0.32049,0.340477,0.320079,0.333209,0.333209,1288327249
7/21/2019,0.333682,0.33587,0.323308,0.331309,0.331309,1045044900
7/22/2019,0.331368,0.33167,0.318133,0.322106,0.322106,1079720970
7/23/2019,0.322267,0.322349,0.307652,0.309926,0.309926,1015322888
7/24/2019,0.309885,0.316471,0.305276,0.315947,0.315947,1222619064
7/25/2019,0.315859,0.321363,0.313881,0.31481,0.31481,1086214216
7/26/2019,0.31474,0.324508,0.30972,0.32353,0.32353,1039753781
7/27/2019,0.323512,0.326285,0.307301,0.310528,0.310528,1163969614
7/28/2019,0.310631,0.312774,0.30411,0.312288,0.312288,846655034
7/29/2019,0.311996,0.313812,0.30802,0.310658,0.310658,807093679
7/30/2019,0.31109,0.320407,0.307865,0.31847,0.31847,928714010
7/31/2019,0.317887,0.322465,0.317244,0.320909,0.320909,996700948
8/1/2019,0.320734,0.320851,0.313134,0.317906,0.317906,882867288
8/2/2019,0.317809,0.318876,0.310844,0.312394,0.312394,816728848
8/3/2019,0.312506,0.319651,0.311696,0.316757,0.316757,789419360
8/4/2019,0.316862,0.322925,0.312325,0.319842,0.319842,926896287
8/5/2019,0.319723,0.331414,0.31941,0.323564,0.323564,1203381139
8/6/2019,0.324018,0.324946,0.308895,0.311326,0.311326,1069603911
8/7/2019,0.311492,0.315573,0.30872,0.311969,0.311969,967534123
8/8/2019,0.311785,0.312618,0.305112,0.307661,0.307661,907305889
8/9/2019,0.307567,0.308218,0.293271,0.297343,0.297343,1021136188
8/10/2019,0.297245,0.304747,0.293443,0.298721,0.298721,1077459339
8/11/2019,0.298566,0.306181,0.296911,0.301915,0.301915,838671654
8/12/2019,0.302169,0.303528,0.298506,0.300322,0.300322,762308356
8/13/2019,0.300661,0.301178,0.293562,0.296639,0.296639,853175560
8/14/2019,0.296719,0.29722,0.25239,0.263343,0.263343,1794754610
8/15/2019,0.263707,0.268241,0.256112,0.264882,0.264882,1342788578
8/16/2019,0.265075,0.265452,0.256977,0.261971,0.261971,1133224404
8/17/2019,0.261885,0.268046,0.259252,0.265721,0.265721,1004931822
8/18/2019,0.265714,0.288718,0.263579,0.282646,0.282646,1216547019
8/19/2019,0.28229,0.289091,0.278425,0.283328,0.283328,1241578947
8/20/2019,0.283159,0.283241,0.273442,0.275806,0.275806,1056822925
8/21/2019,0.275765,0.275765,0.260688,0.266261,0.266261,1164536124
8/22/2019,0.265802,0.273342,0.261967,0.270944,0.270944,1065712731
8/23/2019,0.270575,0.277568,0.26856,0.276545,0.276545,999419343
8/24/2019,0.276543,0.276543,0.267527,0.272553,0.272553,934380519
8/25/2019,0.272612,0.274924,0.267954,0.270088,0.270088,964693737
8/26/2019,0.269946,0.277432,0.268575,0.270788,0.270788,1332395984
8/27/2019,0.270899,0.271042,0.266216,0.269618,0.269618,1028940804
8/28/2019,0.269583,0.270293,0.252948,0.25745,0.25745,1275267910
8/29/2019,0.257461,0.261091,0.249951,0.257045,0.257045,1279995807
8/30/2019,0.256951,0.257325,0.252734,0.256218,0.256218,997071647
8/31/2019,0.256195,0.260507,0.255454,0.259204,0.259204,845142390
9/1/2019,0.259171,0.259659,0.254306,0.258054,0.258054,825579908
9/2/2019,0.258064,0.262465,0.254383,0.26082,0.26082,1044772829
9/3/2019,0.260838,0.265279,0.258163,0.263139,0.263139,1162545093
9/4/2019,0.263185,0.263185,0.258212,0.259905,0.259905,1068332805
9/5/2019,0.259912,0.260707,0.25496,0.256346,0.256346,1050490375
9/6/2019,0.256269,0.259332,0.250805,0.25234,0.25234,1063044201
9/7/2019,0.252411,0.262488,0.251273,0.260687,0.260687,962765309
9/8/2019,0.260777,0.264973,0.25927,0.263084,0.263084,1043077809
